"№ п/п","№ маршр.","Режим движения","Названия маршрута","Прямой путь","Обратный путь","Время нач. и оконч. работы маршрута","Кол-во
выездов
Раб.  (Вых.)","Кол-во оборотных
рейсов Раб. (Вых.)","Длина оборотн. рейса","Время оборотн.  рейса по паспорту"
1,2,"мт мк","ул. Ак. Королева – Промрынок 7км"," ул.Ак.Королева, ул.25-й Чап дивизии,  ул.И.Рабина, пл.Б. Деревянко, ул.Щорса, Ивановский путепровод, Овидиопольская дор, Промрынок 7км","Промрынок 7км, Овидиопольская, Ивановский путепровод, ул.Щорса, 
пл.Б. Деревянко, ул.И.Рабина, ул.25-й Чап. Дивизии, ул.Ак.Королева","05:00-16:30","2(2)","12(12)","26,4 км","90 мин"
2,3,"мт авт","Ж/Д вокзал – Промрынок 7 км","Ж/Д вокзал, ул.Пантелеймоновская, ул.Мечникова, ул.Б.Хмельницкого, ул.Степовая, ул.Мельницкая, Ивановский путепровод, Овидиопольская дор, Промрынок 7км","Промрынок 7км, Овидиопольская дорога, Ивановский путепровод, ул.Мельницкая, ул.Степовая, ул.Б.Хмельницкого, ул.Мечникова, ул.Пантелеймоновская, ул.Ришельевская, бул.Итальянский,    Привокзальная пл.","06:30-14:00","4(4)","8(8)","19,8 км","80 мин"
3,4,"мт мк","ВТЦ «Среднефонтанский» – Промрынок 7км","ул.Семинарская, пр.Шевченко, пр.Гагарина, ул.Сегедская, Фонтанская дор, пр.Адмиральский, Люстдорфская дор, пл.Толбухина, ул.Ак.Филатова, пл.Б.Деревянко, ул.Щорса, Овидиопольская дор, Промрынок 7 км","Промрынок 7 км, Овидиопольская дорога, ул.Щорса, пл.Б.Деревянко,  ул.Ак.Филатова, пл.Толбухина,  Люстдорфская дор, пр.Адмиральский, Фонтанская дорога, ул.Сегедская, пр.Гагарина,  пр.Шевченко, ул.Семинарская","05:00-15:30","18(20)","72(80)","29,3 км","100 мин"
4,6,"мт мк","ул. Заболотного – Промрынок  7км","ул.Ак.Заболотного, Окружная дорога, Овидиопольская дорога, Промрынок 7км","Промрынок 7км, Овидиопольская дорога, Окружная дорога, ул.Заболотного","05:00-15:40","15(15)
в птн. 3","60/60
12","54,3 км","120 мин"
5,7,"мт мк","ул. Архитекторская – Промрынок 7км","ул. Архитекторская, ул.Ак.Королева, ул.Ак. Вильямса, Люстдорфская дорога, 
ул. Малиновского, ул.Кордонная, Ивановский путепровод, Овидиопольская дор., Промрынок 7 км","Промрынок 7 км, Овидиопольская дорога,  Ивановский путепровод, ул. Кордонная,  ул.И.Рабина, ул.Малиновского, Люстдорфская дорога, ул.Вильямса, ул.Ак.Королева, ул.Архитекторская","05:30-14:30","14(14)","56(56)","32,1 км","95 мин"
6,8,"мт мк","пл. Тираспольская – Промрынок 7км","пл. Тираспольская, ул. Тираспольская,
 ул. Колонтаевская, Автовокзал, 
ул. М.Грушевского, ул.Балковская, ул.Бугаевская, ул.Дальницкая, ул.Столбовая, Тираспольское шоссе, ул.Нескучная, ул.Магистральная, ул. Ангарская, Овидиопольская дор., 
Промрынок 7 км","Промрынок 7 км, Овидиопольская дор., 
ул. Ангарская, ул.Магистральная, ул.Нескучная, Тираспольское шоссе, ул.Столбовая, ул.Дальницкая, ул.Бугаевская,  Автовокзал,
ул. Колонтаевская, 
ул. Тираспольская, пл. Тираспольская","05:30-20.00","6 (8)","24 (32)","29,1 км","71 мин"
7,9,"мт  мк","пр-т Александровский-
ул.25-й Чапаевской дивизии","пр-т Александровский,  ул. Бунина, ул.Екатерининская, ул.Греческая. ул.Канатная, ул.Пироговская, пр.Шевченко, ул.Черняховского, пр.Адмиральский, ул.Космонавтов, 
25-й Чапаевской дивизии","25-й Чапаевской дивизии, ул.Космонавтов, пр.Адмиральский, ул.Черняховского, пр.Шевченко, ул.Пироговская, ул.Мариинская, бул.Итальянский, ул.Канатная, ул.Греческая, 
ул. Ришельевская, ул.Жуковского, пр.Александровский","06:30-00:30","24 (20)","192 (160)","23.3 км","70 мин"
8,11,"мт мк","ул. Ильфа и Петрова 
- Промрынок 7 км","ул.И. и Петрова, ул.Архитекторская, ул.Ак.Королёва, ул.25-й Чап. дивизии, 
ул. Гайдара, ул. Ген.Петрова, ул.Радостная, ул.Платановая, ул. 7-я Степная, ул.Гастелло, дорога на Аэропорт, Овидиопольская дор., промрынок 7 км","промрынок 7 км, Овидиопольская дор., дорога на Аэропорт, ул. Гастелло, ул. 7-ая Степная, ул. Платановая, ул. Радостная, 
ул. Ген. Петрова, ул.Варненская, ул. 25й Чап. дивизии, ул. Ак. Королёва, ул.Архитекторская, ул. Ильфа и Петрова  ","05:00-15:30","15(15)","60(60)","32,1 км","105 мин",
9,16,"мт мк","ул. Ген.Бочарова,71-Промрынок 7км","ул.Ген.Бочарова, Днепропетровская дорога, Южная дор., Николаевская дорога, ул.Атамана Головатого, ул.Балковская, ул.Бугаевская, ул.Дальницкая, ул.В.Стуса, Ивановский путепровод, Овидиопольская дор, Промрынок 7км","Промрынок 7км, Овидиопольская дорога, ул.В.Стуса, ул.Дальницкая, ул.Бугаевская, ул.Балковская, ул.Черноморского казачества, Николаевская дорога, Южная дор., Днепропетровская дорога, ул.Заболотного, пр.Добровольского, ул.Ген.Бочарова","05:00-18:10","13(13)","52(52)","52,6 км","135 мин"
10,18,"мт мк","7-я ст.Люстдорфской дороги – 
Промрынок 7км","7-я ст.Люстдорфской дороги, 
пр-т Ак. Глушко, ул.Ильфа и Петрова, ул. Левитана,  пр.М.Жукова, ул.Комарова, ул.Ген.Петрова, ул.Варненская, ул.Терешковой,  ул.Гайдара, ул.Малиновского, ул. Кордонная, Овидиопольская дор, Промрынок 7км","Промрынок 7 км, Овидиопольская дор, Ивановский пут-вод, ул.Кордонная, ул.Малиновского, ул.Гайдара, ул.Терешковой, ул.Космонавтов, ул.25-й Чап. Дивизии, ул.М.Жукова, ул. Левитана, ул. И. и Петрова, пр-т. Ак. Глушко, 
7-я ст.Люстдорфской дороги ","05:00-14:20","10(10)","40(40)","34,7 км","90 мин"
